formula,Property Band Gap,Property Band Gap units,Property Band gap,Property Band gap units,Temperature (Property Band gap),Temperature (Property Band gap) units,Property Color,Temperature (Property Color),Temperature (Property Color) units
InSe,,,1.12,eV,300,K,,,
Nb$_{2}$O$_{5}$,,,3.08,eV,300,K,,,
PrO$_{2}$,,,0.66,eV,323,K,,,
B,,,1.47,eV,300,K,,,
Ca$_{2}$Si,,,1.9,eV,300,K,,,
WO$_{3}$,,,2.7,eV,273,K,,,
HgI$_{2}$,,,2.19,eV,300,K,,,
Er$_{3}$Te$_{4}$,,,0.9,eV,300,K,,,
HgTe,,,0.303,eV,1.5,K,,,
GaS,,,2.58,eV,150,K,,,
NiO,,,3.7,eV,300,K,Dark Green,300,K
K$_{2}$Se,,,1.8,eV,300,K,,,
EuSe,,,3.1,eV,300,K,,,
ZnTe,,,2.372,eV,77,K,,,
PbSe,,,0.165,eV,4.2,K,Gray,4.2,K
ZnSb,,,1.11,eV,4.2,K,,,
ZnTe,,,2.385,eV,4.2,K,Red,4.2,K
C,,,5.413,eV,90,K,,,
EuSe,,,1.78,eV,300,K,,,
SrO,,,5.7,eV,300,K,,,
CsBi$_{2}$,,,0.55,eV,300,K,,,
Pb$_{3}$O$_{4}$,,,2.12,eV,300,K,,,
HgI$_{2}$,,,3.045,eV,90,K,Yellow,90,K
InP,,,1.34,eV,300,K,Dark Gray,300,K
Mg$_{2}$Sn,,,0.135,eV,296,K,,,
GaAs,,,1.479,eV,185,K,,,
RbF,,,10.4,eV,80,K,,,
B,,,1.55,eV,300,K,,,
ErSe$_{2}$,,,1.07,eV,300,K,,,
PbO,,,2.76,eV,300,K,Yellow,300,K
Bi$_{0.87}$Sb$_{0.13}$,,,0.018,eV,300,K,,,
Ag$_{2}$Te,,,0.13,eV,300,K,,,
CuI,,,3.047,eV,80,K,,,
SnSe$_{2}$,,,1.3,eV,300,K,,,
SiC,,,3.33,eV,4.2,K,,,
KCl,,,7.8,eV,55,K,,,
Cd$_{3}$As$_{2}$,,,0.425,eV,300,K,Gray,300,K
BiI$_{3}$,,,2.029,eV,20.4,K,,,
Sb$_{2}$S$_{3}$,,,1.72,eV,293.2,K,,,
Nd$_{2}$Se$_{3}$,,,1.7,eV,300,K,,,
RbI,,,6.25,eV,55,K,,,
GeSe,,,1.17,eV,300,K,,,
Pb$_{2}$O$_{3}$,,,1.67,eV,300,K,,,
SbSi,,,1.9,eV,,,,,
V$_{2}$O$_{5}$,,,2.49,eV,,,,,
GaSe,,,2.169,eV,77,K,,,
As$_{2}$S$_{3}$,,,2.43,eV,293,K,,,
HgO,,,2.214,eV,300,K,,,
BN,,,8,eV,300,K,White,300,K
PrF$_{3}$,,,5.3,eV,300,K,,,
WTe$_{2}$,,,0.05,eV,100,K,,,
RhSe$_{3}$,,,0.7,eV,300,K,,,
SnSe$_{2}$,,,1,eV,300,K,,,
CsCl,,,7.8,eV,80,K,,,
Cu$_{2}$O,,,2.17,eV,,,,,
FeAs$_{2}$,,,0.2,eV,300,K,,,
NdB$_{6}$,,,3.4,eV,300,K,,,
OsP$_{2}$,,,1.2,eV,300,K,,,
B,,,1.42,eV,300,K,,,
Ga$_{2}$Te$_{3}$,,,1.08,eV,,,,,
Mg$_{2}$Ge,,,1.64,eV,300,K,,,
PdS,,,0.5,eV,300,K,,,
CsBr,,,6.9,eV,300,K,,,
PtSb$_{2}$,,,0.11,eV,77,K,,,
HgI$_{2}$,,,2.315,eV,403,K,Yellow,403,K
RbBr,,,7.65,eV,80,K,,,
SnTe,,,0.3,eV,300,K,,,
Cd$_{4}$Sb$_{3}$,,,1.25,eV,300,K,,,
PbTe,,,0.29,eV,300,K,,,
Zn$_{3}$As$_{2}$,,,0.86,eV,,,,,
Cd$_{3}$As$_{2}$,,,0.048,eV,4.2,K,,,
SnS$_{2}$,,,2.6,eV,300,K,,,
ZnTe,,,2.23,eV,300,K,,,
MnTe$_{9}$,,,2,eV,300,K,,,
EuSe,,,1.87,eV,300,K,,,
Er$_{2}$Se$_{3}$,,,1.66,eV,300,K,,,
Ce$_{2}$S$_{3}$,,,1.12,eV,300,K,,,
MgCl,,,,,,,,,
PbTe,,,0.19,eV,300,K,,,
CsF,,,10,eV,80,K,,,
BiSb$_{0.15}$,,,0.022,eV,300,K,,,
SiC,,,2.86,eV,300,K,,,
EuSe,,,1.8,eV,300,K,,,
InS,,,1.86,eV,300,K,,,
ThO$_{2}$,,,3.3,eV,300,K,,,
TiS$_{2}$,,,1.24,eV,300,K,,,
PbO,,,3.18,eV,300,K,Red,300,K
Sb$_{2}$S$_{3}$,,,1.63,eV,298,K,,,
PbCl$_{2}$,,,4.1,eV,300,K,,,
EuSe,,,1.78,eV,300,K,,,
RbI,,,5.83,eV,300,K,,,
TlSe,,,0.74,eV,300,K,,,
AgI,,,2.82,eV,300,K,,,
Bi$_{0.9}$Sb$_{0.1}$,,,0.014,eV,300,K,,,
ZnO,,,3.435,eV,1.2,K,,,
Ag$_{2}$S,,,1.03,eV,296,K,,,
CdSe,,,1.83,eV,4.2,K,,,
GaN,,,3.25,eV,300,K,,,
CaTe,,,4.07,eV,70,K,White,70,K
Eu$_{3}$O$_{4}$,,,0.6,eV,300,K,,,
Tb$_{2}$O$_{3}$,,,0.86,eV,510,K,,,
Cu$_{2}$S,,,1.93,eV,293,K,,,
AuCl,,,,,,,,,
PtSe$_{2}$,,,0.1,eV,300,K,,,
Mg$_{2}$Ge,,,0.66,eV,15,K,,,
GaS,,,2.7,eV,77,K,,,
SeTe,,,1.58,eV,300,K,,,
CrSi$_{2}$,,,0.35,eV,300,K,,,
Cd$_{3}$P$_{2}$,,,0.589,eV,4.2,K,Gray,4.2,K
Ag$_{2}$Te,,,0.064,eV,,,,,
Te,,,0.32,eV,300,K,,,
ZnTe,,,2.34,eV,290,K,,,
CdI$_{2}$,,,3.478,eV,77,K,,,
CeF$_{3}$,,,4.85,eV,300,K,,,
BN,,,3.8,eV,300,K,,,
SnTe,,,0.33,eV,,,,,
In$_{2}$Te$_{3}$,,,1.09$\pm$0.05,eV,300,K,,,
Ag$_{2}$Te,,,0.2,eV,600,K,,,
As$_{2}$S$_{3}$,,,2.1,eV,300,K,,,
SnO$_{2}$,,,3.54,eV,300,K,,,
As$_{2}$Se$_{3}$,,,2,eV,,,,,
TaN,,,2.3$\pm$0.3,eV,300,K,,,
TlCl,,,3.56,eV,300,K,,,
GaP,,,2.895,eV,,,,,
I,,,1.3,eV,300,K,,,
Cu$_{2}$S,,,1.8,eV,300,K,,,
Fe$_{2}$Te$_{3}$,,,0.34,eV,,,,,
ZnTe,,,2.255,eV,300,K,,,
LiI,,,6,eV,55,K,,,
LaSb,,,0.8,eV,300,K,,,
RuS$_{2}$,,,1.8,eV,300,K,,,
V$_{2}$O$_{5}$,,,2.34,eV,300,K,,,
Cd$_{3}$As$_{2}$,,,0.14,eV,300,K,,,
PbI$_{2}$,,,2.32,eV,300,K,Yellow,300,K
AlSb,,,1.62,eV,300,K,,,
Mg$_{3}$As$_{2}$,,,1,eV,300,K,,,
WSe$_{2}$,,,1.57,eV,300,K,,,
