formula,Property Band Gap,Property Band Gap units,Property Band gap,Property Band gap units,Temperature (Property Band gap),Temperature (Property Band gap) units,Property Color,Temperature (Property Color),Temperature (Property Color) units
Na$_{2}$USiO$_{6}$,1.9761000000000002,eV,,,,,,,
TlRe$_{3}$(S$_{2}$Cl)$_{2}$,1.8243,eV,,,,,,,
Ba$_{2}$Cu$_{7}$(AsO$_{4}$)$_{6}$,0.37860000000000005,eV,,,,,,,
PNF$_{2}$,5.6175,eV,,,,,,,
Rb$_{2}$Ga$_{2}$B$_{2}$O$_{7}$,3.6744999999999997,eV,,,,,,,
Pr$_{3}$CuSnS$_{7}$,1.7713999999999999,eV,,,,,,,
NaNb$_{2}$PO$_{8}$,1.9724,eV,,,,,,,
K$_{2}$Ge$_{3}$(BO$_{5}$)$_{2}$,3.8545,eV,,,,,,,
AuS$_{3}$(O$_{3}$F)$_{3}$,1.5564,eV,,,,,,,
Ba$_{9}$Nb$_{2}$CN$_{10}$O,1.7837999999999998,eV,,,,,,,
NiSnF$_{6}$,4.0928,eV,,,,,,,
Ag$_{2}$S,0.36839999999999984,eV,,,,,,,
Mg$_{5}$B$_{3}$O$_{9}$F,5.118399999999999,eV,,,,,,,
UTe$_{6}$(OF$_{5}$)$_{6}$,2.2523,eV,,,,,,,
Y$_{3}$BrO$_{4}$,4.2046,eV,,,,,,,
CaF$_{2}$,6.2478,eV,,,,,,,
NaNb$_{2}$AsO$_{8}$,2.6985,eV,,,,,,,
Li$_{2}$Ca$_{3}$Be$_{3}$Si$_{3}$(O$_{6}$F)$_{2}$,5.7347,eV,,,,,,,
Rb$_{2}$NaBiF$_{6}$,4.9249,eV,,,,,,,
NaY(SiO$_{3}$)$_{2}$,4.709,eV,,,,,,,
Ca$_{2}$Nb$_{2}$O$_{7}$,3.0913000000000004,eV,,,,,,,
AsS$_{3}$(NF$_{3}$)$_{2}$,1.4827000000000001,eV,,,,,,,
KSb$_{4}$F$_{13}$,4.7449,eV,,,,,,,
H$_{5}$CSN$_{2}$Cl,4.3408,eV,,,,,,,
Ta$_{2}$Pt$_{3}$S$_{8}$,0.6797000000000004,eV,,,,,,,
CuSeO$_{3}$,0.0,eV,,,,,,,
RbSiBiS$_{4}$,2.0817999999999994,eV,,,,,,,
LuSBr,2.7179,eV,,,,,,,
Li$_{9}$Ga$_{3}$P$_{8}$O$_{29}$,3.3283000000000005,eV,,,,,,,
NdSn$_{2}$P$_{10}$Cl$_{37}$O$_{12}$,3.0080999999999998,eV,,,,,,,
SiO$_{2}$,5.7315000000000005,eV,,,,,,,
SbSO$_{2}$F$_{5}$,3.4443,eV,,,,,,,
AgHgSBr,1.2604,eV,,,,,,,
Na$_{3}$NO$_{4}$,3.7504,eV,,,,,,,
Li$_{4}$Be$_{3}$As$_{3}$ClO$_{12}$,4.5888,eV,,,,,,,
YbNaP$_{2}$O$_{7}$,0.0,eV,,,,,,,
AsSXe$_{2}$(OF$_{3}$)$_{3}$,2.1909,eV,,,,,,,
KLaCr$_{2}$O$_{8}$,2.6531,eV,,,,,,,
Ho$_{2}$Ge$_{2}$O$_{7}$,3.7385,eV,,,,,,,
Bi$_{24}$Cl$_{10}$O$_{31}$,2.1162,eV,,,,,,,
Nd$_{4}$(GeS$_{4}$)$_{3}$,1.9952999999999994,eV,,,,,,,
Cs$_{2}$Li$_{3}$F$_{5}$,5.618399999999999,eV,,,,,,,
CsZr$_{2}$(PO$_{4}$)$_{3}$,4.3450999999999995,eV,,,,,,,
RbNa$_{5}$Be$_{8}$O$_{11}$,4.0918,eV,,,,,,,
Sr$_{10}$Sm$_{6}$Al$_{6}$Si$_{30}$N$_{54}$O$_{7}$,3.2561,eV,,,,,,,
CaTeO$_{3}$,3.2538,eV,,,,,,,
SbO$_{2}$,1.9056999999999995,eV,,,,,,,
HoCoSn,0.0,eV,,,,,,,
CdCu$_{2}$(BO$_{3}$)$_{2}$,0.10600000000000032,eV,,,,,,,
RbUSO$_{6}$F,2.2132,eV,,,,,,,
LiTaGeO$_{5}$,3.7864999999999993,eV,,,,,,,
K$_{3}$Ho(SiO$_{3}$)$_{3}$,3.7625,eV,,,,,,,
SbAs$_{3}$(S$_{2}$F$_{3}$)$_{2}$,2.3306,eV,,,,,,,
BaUTiO$_{6}$,1.9643000000000002,eV,,,,,,,
Er$_{3}$O$_{2}$F$_{5}$,5.6188,eV,,,,,,,
TbCl$_{2}$F,4.8595999999999995,eV,,,,,,,
Na$_{2}$Pd(NO$_{3}$)$_{4}$,1.7034,eV,,,,,,,
H$_{5}$CNO$_{3}$,5.1511,eV,,,,,,,
HgCS(OF)$_{3}$,3.3526,eV,,,,,,,
K$_{2}$MnF$_{6}$,3.1934,eV,,,,,,,
EuHSO$_{5}$,0.0,eV,,,,,,,
Na$_{3}$La$_{2}$(BO$_{3}$)$_{3}$,3.7901999999999996,eV,,,,,,,
SiO$_{2}$,5.685499999999999,eV,,,,,,,
Nd$_{2}$SiO$_{5}$,4.7758,eV,,,,,,,
TlPb$_{8}$Br$_{9}$O$_{4}$,2.983,eV,,,,,,,
Cs$_{2}$V(PO$_{4}$)$_{2}$,2.9685,eV,,,,,,,
Cu$_{3}$B$_{4}$Pb$_{2}$O$_{11}$,0.0,eV,,,,,,,
S$_{2}$XeNO$_{4}$F$_{3}$,2.7588999999999997,eV,,,,,,,
K$_{2}$RuBr$_{5}$NO,1.6301,eV,,,,,,,
BaBi$_{4}$(ClO$_{3}$)$_{2}$,0.0,eV,,,,,,,
Ba$_{17}$Y$_{16}$Zn$_{8}$Pt$_{4}$O$_{57}$,2.2817,eV,,,,,,,
AlPO$_{4}$,5.4802,eV,,,,,,,
SiO$_{2}$,5.6113,eV,,,,,,,
SiO$_{2}$,5.6417,eV,,,,,,,
Na$_{3}$Zn(BO$_{2}$)$_{5}$,4.2757,eV,,,,,,,
B$_{6}$H$_{21}$C$_{5}$N$_{2}$O,4.4939,eV,,,,,,,
ZnCu$_{3}$H$_{6}$(ClO$_{3}$)$_{2}$,0.06559999999999988,eV,,,,,,,
Ca$_{4}$Si$_{2}$O$_{7}$F$_{2}$,4.678,eV,,,,,,,
Cu(BiO$_{2}$)$_{2}$,0.0,eV,,,,,,,
VXe$_{2}$F$_{17}$,2.4287,eV,,,,,,,
C(SN)$_{2}$,0.5421,eV,,,,,,,
Nd$_{5}$Te$_{2}$Cl$_{3}$O$_{10}$,3.3381,eV,,,,,,,
KAlSiO$_{4}$,4.5482,eV,,,,,,,
NaZn(PO$_{3}$)$_{3}$,4.8259,eV,,,,,,,
K$_{2}$NaAl$_{3}$F$_{12}$,6.8339,eV,,,,,,,
AsS$_{4}$N$_{5}$F$_{6}$,2.4391,eV,,,,,,,
AgH$_{11}$C$_{4}$(SO)$_{3}$,3.4244,eV,,,,,,,
TiFe(BiO$_{3}$)$_{2}$,0.0,eV,,,,,,,
BaMgSiO$_{4}$,4.113899999999999,eV,,,,,,,
SrCuAs$_{2}$O$_{7}$,0.5214999999999999,eV,,,,,,,
Ba$_{4}$NaAuO$_{8}$,1.3961999999999999,eV,,,,,,,
NaLi$_{2}$BO$_{3}$,3.9589,eV,,,,,,,
TaP$_{4}$(SCl)$_{5}$,2.1765,eV,,,,,,,
SnSe$_{2}$(Cl$_{4}$O)$_{2}$,2.7633,eV,,,,,,,
Al(HO)$_{3}$,5.2031,eV,,,,,,,
ZnTe$_{6}$O$_{13}$,2.9724000000000004,eV,,,,,,,
Cr$_{2}$HgSe$_{4}$,0.0,eV,,,,,,,
SiO$_{2}$,5.4814,eV,,,,,,,
K$_{3}$NbAs$_{2}$O$_{9}$,3.1394,eV,,,,,,,
Li$_{9}$Al$_{3}$P$_{8}$O$_{29}$,5.3492999999999995,eV,,,,,,,
CaH$_{2}$(CO$_{2}$)$_{2}$,4.6823,eV,,,,,,,
Cs$_{2}$GeP$_{4}$O$_{13}$,4.1237,eV,,,,,,,
K$_{2}$Al$_{2}$B$_{2}$O$_{7}$,4.5949,eV,,,,,,,
K$_{4}$Sb$_{2}$N$_{3}$O$_{9}$F$_{7}$,2.916,eV,,,,,,,
Na$_{2}$ZnFeF$_{7}$,2.9496,eV,,,,,,,
Na$_{3}$SO$_{4}$F,5.1205,eV,,,,,,,
K$_{2}$Se(SO$_{3}$)$_{2}$,2.9779,eV,,,,,,,
H$_{6}$NO$_{2}$F,3.5905,eV,,,,,,,
RbP$_{2}$WO$_{8}$,3.4378,eV,,,,,,,
NaNd(Si$_{3}$O$_{7}$)$_{2}$,4.7954,eV,,,,,,,
K$_{6}$Ti$_{2}$O$_{7}$,3.455,eV,,,,,,,
CeAg$_{6}$(NO$_{3}$)$_{9}$,0.0026999999999999247,eV,,,,,,,
CuSb$_{2}$(XeF$_{4}$)$_{6}$,0,eV,,,,,,,
Sr$_{5}$B$_{3}$BrO$_{9}$,3.8991,eV,,,,,,,
K$_{9}$Sm$_{3}$Si$_{12}$(O$_{16}$F)$_{2}$,4.5766,eV,,,,,,,
MgF$_{2}$,6.2865,eV,,,,,,,
Cr$_{3}$AgO$_{8}$,1.1888999999999998,eV,,,,,,,
K$_{2}$CuF$_{4}$,0.0,eV,,,,,,,
K$_{3}$Ti$_{3}$(PO$_{4}$)$_{5}$,2.5785,eV,,,,,,,
K$_{2}$SbPO$_{6}$,2.5161000000000002,eV,,,,,,,
NaMnF$_{3}$,2.6871,eV,,,,,,,
Np$_{2}$H$_{12}$SO$_{14}$,0.24380000000000024,eV,,,,,,,
CsZnB(PO$_{4}$)$_{2}$,5.0817,eV,,,,,,,
LiUP(H$_{4}$O$_{5}$)$_{2}$,2.5244,eV,,,,,,,
Li$_{2}$Ca$_{2}$Si$_{5}$O$_{13}$,4.7981,eV,,,,,,,
SiH$_{8}$C$_{2}$NClO,5.0017000000000005,eV,,,,,,,
NbPCl$_{8}$O,2.3986,eV,,,,,,,
CsLa(SO$_{4}$)$_{2}$,4.3605,eV,,,,,,,
TaBiO$_{4}$,2.9008999999999996,eV,,,,,,,
Zn(InS$_{2}$)$_{2}$,0.13070000000000048,eV,,,,,,,
Pr$_{4}$Se$_{3}$(O$_{5}$F$_{3}$)$_{2}$,3.6763000000000003,eV,,,,,,,
CaCO$_{3}$,4.9436,eV,,,,,,,
Na$_{3}$B$_{5}$SO$_{8}$,3.8692,eV,,,,,,,
AlCuAsO$_{5}$,0.4567999999999999,eV,,,,,,,
PNF$_{2}$,5.8154,eV,,,,,,,
Er$_{3}$B$_{5}$O$_{12}$,5.3497,eV,,,,,,,
TeC$_{6}$(ClF$_{7}$)$_{2}$,3.3301999999999996,eV,,,,,,,
K$_{2}$Ba(NO$_{2}$)$_{4}$,2.1776999999999997,eV,,,,,,,
EuK(PO$_{3}$)$_{4}$,0.0019000000000000128,eV,,,,,,,
LiLa$_{5}$Ti$_{8}$O$_{24}$,1.9348999999999998,eV,,,,,,,
K(Mo$_{6}$S$_{7}$)$_{2}$,0.0,eV,,,,,,,
LiTaSiO$_{5}$,3.7965,eV,,,,,,,
NbCoTe$_{2}$,0.0,eV,,,,,,,
Nd$_{3}$CuSnS$_{7}$,1.7587000000000002,eV,,,,,,,
BaCa$_{2}$C$_{2}$(O$_{3}$F)$_{2}$,4.7298,eV,,,,,,,
BaZr$_{4}$(PO$_{4}$)$_{6}$,4.3446,eV,,,,,,,
SbPOF$_{8}$,4.6913,eV,,,,,,,
Na$_{3}$FeF$_{6}$,4.1281,eV,,,,,,,
In$_{2}$H$_{10}$S$_{3}$O$_{17}$,4.0257,eV,,,,,,,
Hg$_{3}$SO$_{6}$,0.5529,eV,,,,,,,
KBa$_{2}$(PO$_{3}$)$_{5}$,5.1425,eV,,,,,,,
Mg$_{2}$SiO$_{4}$,4.4414,eV,,,,,,,
K$_{2}$RuN$_{3}$Cl$_{3}$O$_{5}$,1.7252,eV,,,,,,,
H$_{11}$C$_{4}$NO$_{10}$,3.4288,eV,,,,,,,
Rb$_{3}$Hg$_{2}$S$_{3}$ClO$_{12}$,2.3627000000000002,eV,,,,,,,
Ba$_{5}$B$_{3}$CNO$_{9}$,3.3351,eV,,,,,,,
Na$_{2}$Sn$_{2}$C$_{3}$(O$_{2}$F)$_{3}$,2.4736000000000002,eV,,,,,,,
Ag$_{15}$P$_{4}$S$_{16}$Cl$_{3}$,1.2258,eV,,,,,,,
Ce$_{2}$Zr$_{2}$O$_{7}$,0.0,eV,,,,,,,
K$_{2}$ZrS$_{4}$,1.8944,eV,,,,,,,
Ta$_{2}$Te$_{4}$Br$_{10}$O,0.9964999999999999,eV,,,,,,,
NaAlSiO$_{4}$,4.5992999999999995,eV,,,,,,,
SiO$_{2}$,5.5748,eV,,,,,,,
CrF$_{3}$,2.838,eV,,,,,,,
Ca$_{2}$Zr(SiO$_{3}$)$_{4}$,4.8495,eV,,,,,,,
La$_{2}$Pd$_{2}$O$_{5}$,1.1382000000000003,eV,,,,,,,
EuSi$_{2}$(NO)$_{2}$,0.3055999999999992,eV,,,,,,,
Ag$_{4}$GeO$_{4}$,0.0,eV,,,,,,,
Cs$_{3}$CuTeS$_{9}$,1.3247,eV,,,,,,,
K$_{6}$Nb$_{4}$S$_{25}$,1.5194,eV,,,,,,,
La$_{3}$NbO$_{7}$,2.8479,eV,,,,,,,
SrP$_{2}$(XeF$_{6}$)$_{3}$,2.6253,eV,,,,,,,
SbCl(OF$_{3}$)$_{2}$,1.9104999999999999,eV,,,,,,,
Sm$_{3}$Si$_{2}$S$_{8}$I,2.5119999999999996,eV,,,,,,,
MnClO$_{3}$,2.0584000000000002,eV,,,,,,,
Zr$_{2}$P$_{2}$O$_{9}$,4.1039,eV,,,,,,,
SbTe$_{7}$SXeCl(OF$_{4}$)$_{9}$,1.5847000000000002,eV,,,,,,,
Rb$_{2}$Zr(IO$_{3}$)$_{6}$,3.3526999999999996,eV,,,,,,,
XeF$_{6}$,2.7851,eV,,,,,,,
Na$_{6}$Cu$_{9}$(PO$_{4}$)$_{8}$,0.17789999999999973,eV,,,,,,,
Ge(PbS$_{2}$)$_{2}$,2.0309,eV,,,,,,,
Bi$_{3}$Pt$_{3}$O$_{11}$,0.0,eV,,,,,,,
YbNdS$_{3}$,0.0,eV,,,,,,,
Ca$_{3}$Ta$_{4}$(O$_{6}$F)$_{2}$,3.8739,eV,,,,,,,
Ba$_{4}$Ho(RuO$_{4}$)$_{3}$,0.03569999999999984,eV,,,,,,,
RbIn$_{3}$F$_{10}$,3.4383,eV,,,,,,,
La$_{4}$Ti$_{9}$O$_{24}$,2.8636,eV,,,,,,,
KRb$_{2}$CoF$_{6}$,0.0,eV,,,,,,,
In$_{2}$Ag$_{2}$GeS$_{6}$,0.9558,eV,,,,,,,
Cs$_{2}$Al$_{2}$P$_{2}$O$_{9}$,4.899699999999999,eV,,,,,,,
AsPbClO$_{2}$,3.3353,eV,,,,,,,
K$_{2}$Zn(GeO$_{3}$)$_{2}$,2.8724999999999996,eV,,,,,,,
NaMgF$_{3}$,5.926200000000001,eV,,,,,,,
U$_{3}$O$_{8}$,0.06709999999999994,eV,,,,,,,
InHSeO$_{4}$,3.4370999999999996,eV,,,,,,,
KNbSi$_{2}$O$_{7}$,3.431,eV,,,,,,,
P$_{3}$S$_{3}$N$_{6}$F$_{5}$,2.1283000000000003,eV,,,,,,,
CdSb$_{6}$(S$_{2}$I)$_{4}$,1.5565000000000002,eV,,,,,,,
GdP$_{4}$H$_{4}$NO$_{12}$,3.4734,eV,,,,,,,
SnO$_{2}$,0.5726000000000004,eV,,,,,,,
KZn$_{4}$(PO$_{4}$)$_{3}$,3.83,eV,,,,,,,
K$_{3}$Bi$_{2}$(PO$_{4}$)$_{3}$,3.7815999999999996,eV,,,,,,,
Sr$_{2}$NiTeO$_{6}$,2.3726,eV,,,,,,,
KBS$_{4}$(ClO$_{3}$)$_{4}$,4.6223,eV,,,,,,,
AsC$_{4}$S$_{2}$Cl$_{2}$O$_{2}$F$_{13}$,3.0753,eV,,,,,,,
Sr$_{2}$Cu(BO$_{3}$)$_{2}$,0.022400000000000198,eV,,,,,,,
KBe(PO$_{3}$)$_{3}$,5.558199999999999,eV,,,,,,,
DyCu(MoO$_{4}$)$_{2}$,2.0647,eV,,,,,,,
K$_{2}$SN$_{2}$O$_{5}$,3.2988999999999997,eV,,,,,,,
Na$_{2}$Be(SiO$_{3}$)$_{2}$,4.0017000000000005,eV,,,,,,,
BaZn$_{2}$Si$_{2}$O$_{7}$,3.3032000000000004,eV,,,,,,,
AgHg$_{2}$NO$_{5}$,0.5517,eV,,,,,,,
SrEr$_{2}$O$_{4}$,3.7705,eV,,,,,,,
K$_{3}$Ni$_{2}$F$_{7}$,4.6238,eV,,,,,,,
Sb$_{2}$SNF$_{11}$,3.5649,eV,,,,,,,
Ca$_{7}$Cu(PtO$_{6}$)$_{2}$,0.0,eV,,,,,,,
Hg$_{2}$Te$_{2}$O$_{7}$,1.4253000000000005,eV,,,,,,,
Rb$_{2}$U$_{2}$O$_{7}$,1.6672,eV,,,,,,,
Rb$_{3}$Al$_{2}$(PO$_{4}$)$_{3}$,4.4173,eV,,,,,,,
AgCN$_{3}$O$_{2}$,2.4484000000000004,eV,,,,,,,
Li$_{2}$B$_{4}$O$_{7}$,3.7379000000000002,eV,,,,,,,
UTl$_{2}$(TeO$_{4}$)$_{2}$,1.8321999999999998,eV,,,,,,,
Na$_{2}$FeCuF$_{7}$,0.05650000000000002,eV,,,,,,,
Pr$_{3}$Si$_{2}$S$_{8}$Br,2.6344,eV,,,,,,,
Ba$_{6}$Nb$_{14}$Si$_{4}$O$_{47}$,0.04499999999999993,eV,,,,,,,
Zn$_{2}$B$_{2}$PbO$_{6}$,3.3261999999999996,eV,,,,,,,
Rb$_{3}$NaTiO$_{4}$,3.2452,eV,,,,,,,
BaY$_{2}$Si$_{3}$O$_{10}$,4.8148,eV,,,,,,,
Gd(IO$_{3}$)$_{3}$,3.1587,eV,,,,,,,
La$_{2}$C$_{2}$N$_{4}$O,3.3308999999999997,eV,,,,,,,
Ba$_{2}$V(CuS$_{2}$)$_{3}$,0.6867000000000001,eV,,,,,,,
H$_{10}$C$_{3}$NClO$_{4}$,5.6241,eV,,,,,,,
Ce(SiAg)$_{2}$,0.0,eV,,,,,,,
Tb$_{3}$SiCuS$_{7}$,1.7277000000000005,eV,,,,,,,
Ba$_{2}$CuTeO$_{6}$,0.17870000000000008,eV,,,,,,,
Rb$_{2}$Sb$_{2}$OF$_{10}$,3.7737,eV,,,,,,,
NaTiP$_{2}$O$_{7}$,0.10580000000000034,eV,,,,,,,
CaH$_{2}$(CO$_{2}$)$_{2}$,4.6469,eV,,,,,,,
EuSm$_{2}$BeO$_{5}$,0.5827,eV,,,,,,,
Gd$_{3}$Si$_{2}$Cl$_{5}$O$_{6}$,2.531,eV,,,,,,,
K$_{4}$Ru$_{2}$Cl$_{10}$O,0.5925,eV,,,,,,,
Co(RhO$_{2}$)$_{2}$,0.7908,eV,,,,,,,
TiSCl$_{6}$O,2.6669,eV,,,,,,,
RbLi$_{2}$Be$_{2}$F$_{7}$,7.5146,eV,,,,,,,
Ba$_{3}$ScCO$_{3}$F$_{7}$,4.9085,eV,,,,,,,
Be(PO$_{3}$)$_{2}$,5.8411,eV,,,,,,,
La$_{3}$Si$_{2}$S$_{8}$Br,2.6294999999999993,eV,,,,,,,
Na$_{3}$Fe$_{2}$(MoO$_{4}$)$_{3}$,0.6301999999999999,eV,,,,,,,
SiO$_{2}$,5.3907,eV,,,,,,,
K$_{2}$Ce(PO$_{4}$)$_{2}$,1.4413999999999998,eV,,,,,,,
Nb$_{2}$Cd$_{2}$O$_{7}$,1.9353999999999998,eV,,,,,,,
CuH$_{8}$C$_{4}$(NO$_{3}$)$_{2}$,0.0,eV,,,,,,,
Ba$_{3}$Er$_{2}$(PS$_{4}$)$_{4}$,2.3777000000000004,eV,,,,,,,
K$_{4}$Sr(SiO$_{3}$)$_{3}$,4.1609,eV,,,,,,,
Na$_{3}$AlS$_{3}$,2.91,eV,,,,,,,
K$_{3}$Na$_{3}$Nb$_{8}$(PO$_{7}$)$_{5}$,0.05010000000000003,eV,,,,,,,
Ba$_{3}$Zn$_{5}$In$_{2}$O$_{11}$,1.6191,eV,,,,,,,
Na$_{2}$Ca(AsO$_{3}$)$_{4}$,2.6021,eV,,,,,,,
KCrF$_{3}$,1.849,eV,,,,,,,
AuSeClO$_{3}$,1.3433000000000002,eV,,,,,,,
BaBi$_{2}$(B$_{2}$O$_{5}$)$_{2}$,3.3497999999999997,eV,,,,,,,
Gd$_{2}$WO$_{6}$,2.3389,eV,,,,,,,
IrF$_{6}$,0.7656000000000001,eV,,,,,,,
Li$_{8}$Bi$_{2}$PdO$_{10}$,0.8559999999999999,eV,,,,,,,
CsCdAuS$_{2}$,2.0699,eV,,,,,,,
TeC$_{4}$(ClF$_{3}$)$_{2}$,3.0237,eV,,,,,,,
CdSiO$_{3}$,2.573,eV,,,,,,,
Cu$_{2}$SeO$_{4}$,0.0,eV,,,,,,,
Rb$_{2}$CrF$_{6}$,0,eV,,,,,,,
K$_{3}$(PdO$_{2}$)$_{2}$,0.0,eV,,,,,,,
Ti$_{6}$In$_{2}$Si$_{2}$P$_{12}$O$_{49}$,2.6399999999999997,eV,,,,,,,
KPrPdO$_{3}$,0.5977999999999999,eV,,,,,,,
Rb$_{2}$NaAl$_{6}$F$_{21}$,7.004199999999999,eV,,,,,,,
LaPS$_{4}$,2.4274,eV,,,,,,,
Al(HO)$_{3}$,4.9898,eV,,,,,,,
Hg$_{2}$C$_{2}$N$_{2}$O,3.1475999999999997,eV,,,,,,,
BaCaCrF$_{7}$,4.0221,eV,,,,,,,
RbTeNO$_{3}$F$_{4}$,3.3838,eV,,,,,,,
Na$_{2}$MnCrF$_{7}$,2.4576000000000002,eV,,,,,,,
LiBeH$_{8}$CNOF$_{4}$,5.5732,eV,,,,,,,
Si$_{2}$Ag$_{6}$O$_{7}$,0.17580000000000018,eV,,,,,,,
P$_{3}$IrO$_{9}$,2.2408,eV,,,,,,,
RbTi$_{2}$(PO$_{4}$)$_{3}$,2.6197,eV,,,,,,,
Rb$_{2}$Sb$_{8}$O$_{13}$,2.3306,eV,,,,,,,
ZnS,2.0801,eV,,,,,,,
NbSe$_{2}$SN$_{2}$ClF$_{6}$,2.1919,eV,,,,,,,
NaTi$_{2}$Al$_{5}$O$_{12}$,2.7190000000000003,eV,,,,,,,
Dy$_{3}$Si$_{2}$Cl$_{5}$O$_{6}$,4.7696,eV,,,,,,,
Ca$_{2}$AsClO$_{4}$,3.795,eV,,,,,,,
Na$_{8}$Si$_{6}$SnO$_{18}$,3.8047000000000004,eV,,,,,,,
AlTlF$_{4}$,4.2492,eV,,,,,,,
CsNiPdF$_{5}$,0.718,eV,,,,,,,
K$_{2}$CuS(ClO$_{2}$)$_{2}$,0.5867,eV,,,,,,,
O$_{2}$,1.2986999999999997,eV,,,,,,,
Na$_{2}$MgSi$_{5}$O$_{12}$,0.0,eV,,,,,,,
LiLa$_{4}$AuO$_{8}$,1.6583000000000006,eV,,,,,,,
Sb$_{2}$O$_{3}$,1.2201999999999993,eV,,,,,,,
Nd$_{10}$S$_{14}$O,1.8352,eV,,,,,,,
Sr$_{2}$Co(ClO)$_{2}$,0.19259999999999966,eV,,,,,,,
HoCuS$_{2}$,1.6602999999999999,eV,,,,,,,
Na$_{2}$TeO$_{4}$,1.8126000000000002,eV,,,,,,,
KLiSO$_{4}$,5.260300000000001,eV,,,,,,,
KCO$_{2}$,2.7324,eV,,,,,,,
FeSiP$_{3}$O$_{11}$,2.8624,eV,,,,,,,
AgH$_{12}$C$_{6}$N$_{5}$O$_{3}$,2.8931,eV,,,,,,,
BaZr(PO$_{4}$)$_{2}$,3.8199,eV,,,,,,,
CaLa$_{2}$B$_{10}$O$_{19}$,4.5432999999999995,eV,,,,,,,
Mg$_{3}$(PO$_{4}$)$_{2}$,5.1758999999999995,eV,,,,,,,
Na$_{5}$Bi(P$_{2}$O$_{7}$)$_{2}$,4.2843,eV,,,,,,,
RePbClO$_{4}$,3.3739,eV,,,,,,,
Ba$_{2}$Ni$_{7}$F$_{18}$,4.8408,eV,,,,,,,
TeMo$_{5}$O$_{16}$,1.2441,eV,,,,,,,
K$_{3}$Al$_{2}$(PO$_{4}$)$_{3}$,4.4329,eV,,,,,,,
KUSi$_{2}$O$_{7}$,0.5872000000000002,eV,,,,,,,
NaGaSiO$_{4}$,3.8215,eV,,,,,,,
Al$_{2}$SnCl$_{6}$O,3.959,eV,,,,,,,
Cs$_{2}$MoS$_{4}$,1.8688000000000002,eV,,,,,,,
GaS$_{5}$N$_{5}$Cl$_{4}$,2.2969,eV,,,,,,,
Na$_{2}$U$_{2}$Si(O$_{4}$F)$_{2}$,2.0751999999999997,eV,,,,,,,
SbS(BrF$_{2}$)$_{3}$,2.6467,eV,,,,,,,
Ba$_{12}$Cl$_{5}$F$_{19}$,5.980499999999999,eV,,,,,,,
Na$_{3}$SbP$_{2}$O$_{9}$,2.6288,eV,,,,,,,
Ca$_{2}$NbInO$_{6}$,3.4347999999999996,eV,,,,,,,
Ca$_{2}$GeO$_{4}$,3.6002,eV,,,,,,,
KLa(PS$_{3}$)$_{2}$,2.6742000000000004,eV,,,,,,,
RbNaLi$_{6}$(SiO$_{4}$)$_{2}$,4.5916,eV,,,,,,,
CaTeO$_{3}$,2.9142,eV,,,,,,,
RbLa$_{9}$(IrO$_{6}$)$_{4}$,0.0,eV,,,,,,,
Na$_{5}$Bi$_{2}$As$_{5}$O$_{18}$,3.1755000000000004,eV,,,,,,,
Eu$_{4}$Ba$_{4}$Zn$_{3}$PtO$_{15}$,0,eV,,,,,,,
Rb(CoS)$_{2}$,0.0,eV,,,,,,,
LaPb$_{6}$BrO$_{7}$,1.9304999999999999,eV,,,,,,,
K$_{4}$Nb$_{2}$Se$_{11}$O,1.361,eV,,,,,,,
CsLi(PO$_{3}$)$_{2}$,5.6245,eV,,,,,,,
K$_{2}$Zn$_{3}$(P$_{2}$O$_{7}$)$_{2}$,4.5302999999999995,eV,,,,,,,
MgSeO$_{4}$,3.1255,eV,,,,,,,
Rb$_{2}$NaVF$_{6}$,0.0,eV,,,,,,,
NaPr$_{2}$S$_{2}$O$_{8}$F$_{3}$,6.1548,eV,,,,,,,
K$_{6}$Si$_{2}$CuO$_{8}$,0.5072000000000001,eV,,,,,,,
CrAgS$_{2}$,0.0,eV,,,,,,,
NdP$_{5}$O$_{14}$,5.3864,eV,,,,,,,
K$_{2}$Ge(IO$_{3}$)$_{6}$,3.1645,eV,,,,,,,
Nb$_{3}$Te$_{8}$I$_{7}$O,0.46050000000000013,eV,,,,,,,
K$_{4}$Nb$_{6}$O$_{17}$,2.7386,eV,,,,,,,
SrV$_{2}$(NiO$_{4}$)$_{2}$,2.7904999999999998,eV,,,,,,,
BaHgRuO$_{5}$,0.3148000000000002,eV,,,,,,,
Te$_{3}$As$_{2}$S(OF$_{6}$)$_{2}$,2.0234,eV,,,,,,,
Cr$_{2}$Te$_{4}$O$_{11}$,2.3209000000000004,eV,,,,,,,
SiO$_{2}$,5.6266,eV,,,,,,,
Cs$_{2}$TlMoF$_{6}$,3.9316,eV,,,,,,,
Sm$_{10}$S$_{14}$O,1.8499999999999996,eV,,,,,,,
Sn$_{5}$(PO$_{5}$)$_{2}$,2.6984999999999997,eV,,,,,,,
Ag$_{2}$CO$_{3}$,0.7414000000000003,eV,,,,,,,
TeH$_{12}$AuC$_{4}$S$_{3}$N,2.065,eV,,,,,,,
NaCaBeSi$_{2}$O$_{6}$F,5.2919,eV,,,,,,,
Sr$_{2}$CoMoO$_{6}$,0.8403,eV,,,,,,,
Na$_{4}$UC$_{3}$O$_{11}$,2.1373,eV,,,,,,,
ZnS,2.0215,eV,,,,,,,
