formula,Property band_gap,Property band_gap units,Property SMILES
Ca$_{4}$Mg$_{4}$Fe$_{3}$H$_{22}$,1.4456000000000002,eV/atom,
HfCuSn,0.0,eV/atom,
TlFeSe$_{2}$,0.0,eV/atom,
Sr$_{2}$GdRuO$_{6}$,0.1634000000000002,eV/atom,
DyAl$_{4}$Ni,0.0,eV/atom,
Hg$_{2}$Rh,0.0,eV/atom,
CaYbInS$_{4}$,0.0,eV/atom,
Ca$_{3}$La$_{3}$(BO$_{3}$)$_{5}$,4.1370000000000005,eV/atom,
CdI$_{2}$,2.3587,eV/atom,
NiAgO$_{2}$,0,eV/atom,
ZrAs,0.0,eV/atom,
Eu$_{2}$ZnGe$_{3}$,0.0,eV/atom,
Zr$_{6}$Al$_{16}$Ru$_{7}$,0.0,eV/atom,
Cs$_{3}$AlP$_{2}$,0.9831000000000003,eV/atom,
HoCuGe,0.0,eV/atom,
LaGe,0.0,eV/atom,
NiH$_{8}$(IO$_{5}$)$_{2}$,3.6538,eV/atom,
KCdF$_{3}$,3.1006,eV/atom,
P$_{4}$S$_{7}$,2.7617,eV/atom,
NaZnP$_{2}$HO$_{7}$,4.510800000000001,eV/atom,
Er$_{2}$CdGe$_{2}$,0.0,eV/atom,
NbCl$_{3}$O,2.8024,eV/atom,
UInAu$_{2}$,0.0,eV/atom,
Sr$_{2}$LiReO$_{6}$,1.6795999999999998,eV/atom,
NaNd$_{2}$RuO$_{6}$,0.0,eV/atom,
RbGaH$_{2}$,1.3521,eV/atom,
HfIN,1.0064999999999995,eV/atom,
LaBRh$_{3}$,0.0,eV/atom,
TmOs$_{2}$,0.0,eV/atom,
Mn$_{3}$Ge,0.0,eV/atom,
Tl$_{2}$Pt$_{2}$O$_{7}$,0.6955,eV/atom,
Hg$_{2}$Br$_{2}$N,0.0,eV/atom,
KN,0.0,eV/atom,
K$_{3}$AlH$_{6}$,1.7988000000000002,eV/atom,
K$_{2}$Cu(PS$_{3}$)$_{3}$,1.9435,eV/atom,
NbI$_{3}$,0.0,eV/atom,
Dy(Co$_{2}$B)$_{6}$,0.0,eV/atom,
Na$_{2}$Si$_{2}$O$_{5}$,4.4186,eV/atom,
Sr$_{2}$Cu$_{2}$Ni(SO)$_{2}$,0.0049000000000001265,eV/atom,
Na$_{2}$MnGaF$_{7}$,2.7127,eV/atom,
Sr$_{5}$Nb$_{5}$O$_{16}$,0.0,eV/atom,
Sr$_{4}$Pt$_{4}$PbO$_{11}$,0.5728999999999997,eV/atom,
Na$_{5}$Te$_{2}$H$_{36}$AuO$_{28}$,2.4632,eV/atom,
Mg(CO$_{3}$)$_{2}$,0.32310000000000005,eV/atom,[Mg+2].O=C([O-])C(=O)[O-].O.O
Ca$_{5}$(SnAs$_{3}$)$_{2}$,0.24129999999999985,eV/atom,
Cu$_{4}$Si$_{2}$NiS$_{7}$,0.0,eV/atom,
AlPO$_{4}$,5.4968,eV/atom,
Sm$_{2}$Zn$_{17}$,0.0,eV/atom,
Cs$_{2}$SiS$_{3}$,2.9793000000000003,eV/atom,
TbYb$_{2}$PrS$_{6}$,1.2724000000000002,eV/atom,
NaPb,0.0,eV/atom,
YbPO$_{4}$,0.0,eV/atom,
